Business Name,Input Phone,API Name,API Phone,API Address,Name Match,Address Match,Phone Match,SAB?,Match Status
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,32nd Ave,,"32nd Ave, North Banu Nagar, Banu Nagar, Chennai, Tamil Nadu, India",Yes,No,Yes,No,
,,780 Beatty St,,"780 Beatty St, Vancouver, BC V6B 2M1, Canada",Yes,No,Yes,No,
,,Bejai Main Rd,,"Bejai Main Rd, Mangaluru, Karnataka 575004, India",Yes,No,Yes,No,
,,351 Avondale Rd,,"351 Avondale Rd, Newport, NS B0N 2A0, Canada",Yes,No,Yes,No,
,,250 Willis Cres,,"250 Willis Cres, Saskatoon, SK S7T 0V2, Canada",Yes,No,Yes,No,
,,Airport Rd,,"Airport Rd, Meenambakkam, Chennai, Tamil Nadu 600016, India",Yes,No,Yes,No,
,,St Margarets Road,,"Horsforth, Leeds LS18 5BD, UK",Yes,No,Yes,No,
,,High St,,"High St, West Tambaram, Tambaram, Chennai, Tamil Nadu 600045, India",Yes,No,Yes,No,
,,3555 NW 83rd Ave Suite 320,,"3555 NW 83rd Ave Suite 320, Doral, FL 33122, USA",Yes,No,Yes,No,
,,1706 Preston Ave N,,"1706 Preston Ave N, Saskatoon, SK S7N 4Y1, Canada",Yes,Yes,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Paoli OB/GYN,(610) 889-9550,"255 W Lancaster Ave # 227, Paoli, PA 19301, USA",Yes,No,Yes,No,
,,Old Purulia Rd,,"Old Purulia Rd, Jamshedpur, Jharkhand 832110, India",Yes,No,Yes,No,
,,KFC Yum! Center,(502) 690-9000,"1 Arena Plaza, Louisville, KY 40202, USA",Yes,Yes,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,519 8th Ave Rm 811,,"519 8th Ave Rm 811, New York, NY 10018, USA",Yes,No,Yes,No,
,,740 NJ-34,,"740 NJ-34, Matawan, NJ 07747, USA",Yes,Yes,Yes,No,
,,"136, Paul Appaswamy St",,"136, Paul Appaswamy St, Satyamurthy Nagar, T. Nagar, Chennai, Tamil Nadu 600017, India",Yes,No,Yes,No,
,,776 Amboy Ave # 200,,"776 Amboy Ave # 200, Edison, NJ 08837, USA",Yes,Yes,Yes,No,
,,Oglesby,,"Oglesby, IL 61348, USA",Yes,Yes,Yes,No,
,,Mindful Minds Psychiatry,(720) 458-5413,"1945 Dominion Way # 110, Colorado Springs, CO 80918, USA",Yes,No,Yes,No,
,,1390 E Valley Rd #1c,,"1390 E Valley Rd #1c, Basalt, CO 81621, USA",Yes,No,Yes,No,
,,1075 Easton Ave,,"1075 Easton Ave, Somerset, NJ 08873, USA",Yes,Yes,Yes,No,
,,Geology Bldg,,"Geology Bldg, 114 Science Pl, Saskatoon, SK S7N 0X2, Canada",Yes,Yes,Yes,No,
,,35 E 38th St #1b,,"35 E 38th St #1b, New York, NY 10016, USA",Yes,Yes,Yes,No,
,,21B Stangl Rd,,"21B Stangl Rd, Flemington, NJ 08822, USA",Yes,Yes,Yes,No,
,,1910 Washington Valley Rd STE 4,,"1910 Washington Valley Rd STE 4, Martinsville, NJ 08836, USA",Yes,Yes,Yes,No,
,,1801 E 2nd St,,"1801 E 2nd St, Austin, TX 78702, USA",Yes,Yes,Yes,No,
,,311 Chestnut St,,"311 Chestnut St, West Memphis, AR 72301, USA",Yes,Yes,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,"250, Main St",,"250, Main St, Teachers Colony, Chennai, Tamil Nadu 600053, India",Yes,No,Yes,No,
,,71 E 110th St sp1,,"71 E 110th St sp1, New York, NY 10029, USA",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,46 London End,,"46 London End, Beaconsfield HP9 2JH, UK",Yes,Yes,Yes,No,
,,3901 E Pear St,,"3901 E Pear St, Pearland, TX 77581, USA",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,"137, Velachery - Tambaram Main Rd",,"137, Velachery - Tambaram Main Rd, near bhubaneshwari Nagar, Subramaniam Colony, Bhuvaneshwari Nagar, Velachery, Chennai, Tamil Nadu 600042, India",Yes,No,Yes,No,
,,Kennedy Ln,,"Kennedy Ln, St.Thomas Mount-cum-Pallavaram, Tamil Nadu 600043, India",Yes,No,Yes,No,
,,271 Kelly Blvd,,"271 Kelly Blvd, Staten Island, NY 10314, USA",Yes,Yes,Yes,No,
,,475 Tuckahoe Rd #201,,"475 Tuckahoe Rd #201, Yonkers, NY 10710, USA",Yes,Yes,Yes,No,
,,113 Maple Stream Rd,,"113 Maple Stream Rd, East Windsor, NJ 08520, USA",Yes,Yes,Yes,No,
,,415 Avenel St,,"415 Avenel St, Avenel, NJ 07001, USA",Yes,Yes,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Jai Prakash Narayan Setu Bridge,,"Jai Prakash Narayan Setu Bridge, Jamshedpur, Jharkhand 831001, India",Yes,Yes,Yes,No,
,,Industrial Area,,"Industrial Area, Saidapet, Chennai, Tamil Nadu, India",Yes,Yes,Yes,No,
,,1875 UT-13,,"1875 UT-13, Brigham City, UT 84302, USA",Yes,No,Yes,No,
,,530 Hogg Crescent,,"530 Hogg Crescent, Saskatoon, SK S7N 3V6, Canada",Yes,Yes,Yes,No,
,,Elizabeth Rani St,,"Elizabeth Rani St, Anna Nagar, Chitlapakkam, Chennai, Tamil Nadu 600064, India",Yes,No,Yes,No,
,,31 Peldon Ct,,"31 Peldon Ct, Sheen Rd, Richmond TW9 1YT, UK",Yes,No,Yes,No,
,,323-327 Railton Rd,,"323-327 Railton Rd, London SE24 0JN, UK",Yes,No,Yes,No,
,,"10/200, 16th West Cross St",,"10/200, 16th West Cross St, C-Sector, Anna Nagar West Extension, Chennai, Tamil Nadu 600101, India",Yes,No,Yes,No,
,,"119, 33rd St",,"119, 33rd St, TNHB Colony, Villivakkam, Chennai, Tamil Nadu 600049, India",Yes,No,Yes,No,
,,Chennai Metro Line 2,,"Chennai Metro Line 2, Chennai, Tamil Nadu, India",Yes,Yes,Yes,No,
,,74th St,,"74th St, Sector 12, K. K. Nagar, Chennai, Tamil Nadu 600078, India",Yes,No,Yes,No,
,,,,,,,,N/A,No result found
,,56 Hawthorne Ave,,"56 Hawthorne Ave, Hamden, CT 06517, USA",Yes,No,Yes,No,
,,800 Ave O S,,"800 Ave O S, Saskatoon, SK S7M 2S7, Canada",Yes,No,Yes,No,
,,,,,,,,N/A,No result found
,,,,,,,,N/A,No result found
,,2325 Preston Ave S,,"2325 Preston Ave S, Saskatoon, SK S7J 2G2, Canada",Yes,Yes,Yes,No,
,,,,,,,,N/A,No result found
,,,,,,,,N/A,No result found
,,Wdcf Dr,,"Wdcf Dr, Florida 33525, USA",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,8315 NW 64th St Suite 8,,"8315 NW 64th St Suite 8, Miami, FL 33166, USA",Yes,No,Yes,No,
,,"10-336, 19th St",,"10-336, 19th St, C-Sector, Agatiyar Nagar, Chennai, Tamil Nadu 600049, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Parkside Cafe,(727) 546-3600,"8180 49th St N, Pinellas Park, FL 33781, USA",Yes,No,Yes,No,
,,133 Gales Dr,,"133 Gales Dr, New Providence, NJ 07974, USA",Yes,Yes,Yes,No,
,,342 US-9,,"342 US-9, Marmora, NJ 08223, USA",Yes,Yes,Yes,No,
,,"Orthopaedic Institute at Huntington, 155 East Main Street",(631) 470-8379,"155 E Main St, Huntington, NY 11743, USA",Yes,Yes,Yes,No,
,,1 Eastern Ave,,"1 Eastern Ave, Kensington NSW 2033, Australia",Yes,Yes,Yes,No,
,,E Main Rd,,"E Main Rd, Anna Nagar West Extension, Chennai, Tamil Nadu 600101, India",Yes,No,Yes,No,
,,100 Overlook Dr,,"100 Overlook Dr, Woodcliff Lake, NJ 07677, USA",Yes,Yes,Yes,No,
,,85 Raritan Ave Suite 430,,"85 Raritan Ave Suite 430, Highland Park, NJ 08904, USA",Yes,Yes,Yes,No,
,,180 N County Line Rd,,"180 N County Line Rd, Jackson Township, NJ 08527, USA",Yes,Yes,Yes,No,
,,59 E Mill Rd # 102,,"59 E Mill Rd # 102, Long Valley, NJ 07853, USA",Yes,Yes,Yes,No,
,,1103 8 St E,,"1103 8 St E, Saskatoon, SK S7H 0S3, Canada",Yes,Yes,Yes,No,
,,Agra - Lucknow Expy,,"Agra - Lucknow Expy, Uttar Pradesh, India",Yes,No,Yes,No,
,,100 Maryland Ave SW,,"100 Maryland Ave SW, Washington, DC 20002, USA",Yes,No,Yes,No,
,,,,,,,,N/A,No result found
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,1608 8 St E,,"1608 8 St E, Saskatoon, SK S7H 0T3, Canada",Yes,Yes,Yes,No,
,,KFC Yum! Center,(502) 690-9000,"1 Arena Plaza, Louisville, KY 40202, USA",Yes,Yes,Yes,No,
,,"81, Victoria Gdns Rd",,"81, Victoria Gdns Rd, Jai Nagar, Arumbakkam, Chennai, Tamil Nadu 600106, India",Yes,No,Yes,No,
,,324 Trinity Rd,,"324 Trinity Rd, Carbon Hill, AL 35549, USA",Yes,No,Yes,No,
,,"2, Church St",,"2, Church St, Karpaga Vinayagar Colony, Valasaravakkam, Chennai, Tamil Nadu 600087, India",Yes,No,Yes,No,
,,"7, Baker Street",,"7, Baker Street, Parry's Corner, George Town, Chennai, Tamil Nadu 600001, India",Yes,No,Yes,No,
,,1010 Reisterstown Rd,,"1010 Reisterstown Rd, Pikesville, MD 21208, USA",Yes,No,Yes,No,
,,Airport Rd,,"Airport Rd, Meenambakkam, Chennai, Tamil Nadu 600016, India",Yes,No,Yes,No,
,,Bomfyle Road,,"Bomfyle Road, Shillong, Meghalaya, India",Yes,Yes,Yes,No,
,,Name 1,,"3723+624, Cathedral Rd, Ellaiamman Colony, Gopalapuram, Chennai, Tamil Nadu 600086, India",Yes,No,Yes,No,
,,,,,,,,N/A,No result found
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,74th St,,"74th St, Sector 12, K. K. Nagar, Chennai, Tamil Nadu 600078, India",Yes,No,Yes,No,
,,,,,,,,N/A,No result found
,,2493 Lamington Rd b,,"2493 Lamington Rd b, Bedminster, NJ 07921, USA",Yes,No,Yes,No,
,,177 Thompson St,,"177 Thompson St, New York, NY 10012, USA",Yes,No,Yes,No,
,,700 US-130 #107,,"700 Professional Plaza, 700 US-130 #107, Cinnaminson, NJ 08077, USA",Yes,Yes,Yes,No,
,,"124, W Main Rd",,"124, W Main Rd, Kumudam Nagar, Mugalivakkam, Chennai, Tamil Nadu 600125, India",Yes,No,Yes,No,
,,1240 N Pitt St Suite 100,,"1240 N Pitt St Suite 100, Alexandria, VA 22314, USA",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,"115, 3rd Ave",,"115, 3rd Ave, TNEB Colony, Korattur, Chennai, Tamil Nadu 600053, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,1608 8 St E,,"1608 8 St E, Saskatoon, SK S7H 0T3, Canada",Yes,Yes,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,"Tv. dos Pontífices, 35 - Jardim Nossa Sra. Aparecida",,"Tv. dos Pontífices, 35 - Jardim Nossa Sra. Aparecida, Francisco Morato - SP, 07936-050, Brazil",Yes,No,Yes,No,
,,2657 NE 189th St,,"2657 NE 189th St, Shoreline, WA 98155, USA",Yes,No,Yes,No,
,,SPRINGFIELD,,"Plot No. 27, Door No.36, 41, 1st Main Rd W, Bharathi Puram, Shenoy Nagar, Chennai, Tamil Nadu 600030, India",Yes,No,Yes,No,
,,405 Avenue B S #110,,"405 Avenue B S #110, Saskatoon, SK S7M 5N3, Canada",Yes,No,Yes,No,
,,1 Aspen St,,"1 Aspen St, Moonee Ponds VIC 3039, Australia",Yes,Yes,Yes,No,
,,,,,,,,N/A,No result found
,,59 Cadogan St,,"59 Cadogan St, London SW3 2QJ, UK",Yes,No,Yes,No,
,,"130, 4th St",,"130, 4th St, Bharatheeswarar Colony, Bharatheswarar Colony, Choolaimedu, Chennai, Tamil Nadu 600024, India",Yes,No,Yes,No,
,,Al Muntazah,,"Al Muntazah, Doha, Qatar",Yes,Yes,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,91 Central Park West Corporation,(212) 877-0381,"91 Central Prk W, New York, NY 10023, USA",Yes,No,Yes,No,
,,1148 N Irving St,,"1148 N Irving St, Arlington, VA 22201, USA",Yes,Yes,Yes,No,
,,"38, Main St",,"38, Main St, Nehru Nagar, Anna Nagar, Chennai, Tamil Nadu 600040, India",Yes,No,Yes,No,
,,495 Union Ave #1b,,"495 Union Ave #1b, Middlesex, NJ 08846, USA",Yes,Yes,Yes,No,
,,77 Brant Ave #210,,"77 Brant Ave #210, Clark, NJ 07066, USA",Yes,Yes,Yes,No,
,,65 Mountain Blvd Ste 202-204,,"65 Mountain Blvd Ste 202-204, Warren, NJ 07059, USA",Yes,Yes,Yes,No,
,,"106, 4th Cross St",,"106, 4th Cross St, Vaishnavi Nagar, Cholambedu, Chennai, Tamil Nadu 600109, India",Yes,No,Yes,No,
,,506 Hamburg Tpke #202,,"506 Hamburg Tpke #202, Wayne, NJ 07470, USA",Yes,Yes,Yes,No,
,,3322 US-22 #1106,,"3322 US-22 #1106, Branchburg, NJ 08876, USA",Yes,Yes,Yes,No,
,,680 Speedwell Ave,,"680 Speedwell Ave, Morris Plains, NJ 07950, USA",Yes,No,Yes,No,
,,1 World Wy,,"1 World Wy, Los Angeles, CA 90045, USA",Yes,Yes,Yes,No,
,,501 Battersea Park Rd,,"501 Battersea Park Rd, London SW11 4LW, UK",Yes,No,Yes,No,
,,"172/1, 9th Main Rd",,"172/1, 9th Main Rd, 8th Block, Kaviarasu Kannadhasan Nagar, Kodungaiyur, Chennai, Tamil Nadu 600118, India",Yes,No,Yes,No,
,,125 Gloucester Rd,,"125 Gloucester Rd, South Kensington, London SW7 4TE, UK",Yes,No,Yes,No,
,,21 Replingham Rd,,"21 Replingham Rd, London SW18 5LT, UK",Yes,No,Yes,No,
,,162 Kensington Church St,,"162 Kensington Church St, London W8 4BN, UK",Yes,No,Yes,No,
,,235 Banbury Rd,,"235 Banbury Rd, London, ON N5Z 4M1, Canada",Yes,No,Yes,No,
,,296 King's Rd,,"296 King's Rd, London SW3 5UG, UK",Yes,No,Yes,No,
,,Kayarmanj,,"Kayarmanj, MG Rd, Ballalbagh, Kodailbail, Mangaluru, Karnataka 575003, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,28244 Diehl Rd,,"28244 Diehl Rd, Warrenville, IL 60555, USA",Yes,No,Yes,No,
,,415 Avenel St,,"415 Avenel St, Avenel, NJ 07001, USA",Yes,Yes,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Navalur Rd,,"Navalur Rd, Navalur, Tamil Nadu 636116, India",Yes,No,Yes,No,
,,McDonald's,(306) 955-8660,"2225 22 St W, Saskatoon, SK S7M 0V5, Canada",Yes,Yes,Yes,No,
,,640 24th Pl SW,,"640 24th Pl SW, Vero Beach, FL 32962, USA",Yes,Yes,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,1600 Parker Ave,,"1600 Parker Ave, Fort Lee, NJ 07024, USA",Yes,Yes,Yes,No,
,,7-Eleven,(760) 598-0590,"298 Sycamore Ave, Vista, CA 92083, USA",Yes,No,Yes,No,
,,Bora Hospital,044 2381 0434,"39, Subramania Mudali St, Suriyammapet, Saidapet, Chennai, Tamil Nadu 600015, India",Yes,No,Yes,No,
,,ChiroPlus Wellness Center,(732) 290-8950,"3883 County Rd 516, Old Bridge, NJ 08857, USA",Yes,Yes,Yes,No,
,,101,,"101, 135, Samayapuram Main Rd, near Ganesh Hardwares, Karambakkam, Samayapuram Nagar, Porur, Chennai, Tamil Nadu 600116, India",Yes,No,Yes,No,
,,"10, Anderson Rd",,"10, Anderson Rd, Chinna Chembarambakkam, Ayanavaram, Chennai, Tamil Nadu 600023, India",Yes,No,Yes,No,
,,101 Union Ave,,"101 Union Ave, Syracuse, NY 13203, USA",Yes,Yes,Yes,No,
,,736 Mountain Blvd,,"736 Mountain Blvd, Oakland, CA 94611, USA",Yes,Yes,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
