Business Name,Input Phone,API Name,API Phone,API Address,Name Match,Address Match,Phone Match,SAB?,Match Status
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,257 Monmouth Rd STE 5B,,"257 Monmouth Rd STE 5B, Oakhurst, NJ 07755, USA",Yes,No,Yes,No,
,,Paoli OB/GYN,(610) 889-9550,"255 W Lancaster Ave # 227, Paoli, PA 19301, USA",Yes,No,Yes,No,
,,2m,,"2m, 245, Main St, Teachers Colony, Chennai, Tamil Nadu 600053, India",Yes,No,Yes,No,
,,3499 US-9 #2B,,"3499 US-9 #2B, Freehold, NJ 07728, USA",Yes,No,Yes,No,
,,186 County Rte 520 #1,,"186 County Rte 520 #1, Morganville, NJ 07751, USA",Yes,Yes,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Manin St,,"Manin St, Wynnum QLD 4178, Australia",Yes,No,Yes,No,
,,7950 NW 53rd St Suit 337,,"7950 NW 53rd St Suit 337, Miami, FL 33166, USA",Yes,No,Yes,No,
,,2200 N Commerce Pkwy #200,,"2200 N Commerce Pkwy #200, Weston, FL 33326, USA",Yes,No,Yes,No,
,,740 NJ-34 Suite D,,"740 NJ-34 Suite D, Matawan, NJ 07747, USA",Yes,Yes,Yes,No,
,,35 Beaverson Blvd B,,"35 Beaverson Blvd B, Brick Township, NJ 08723, USA",Yes,Yes,Yes,No,
,,"100, Dairy Farm Rd",,"100, Dairy Farm Rd, Ramapuram, Alandur, Chennai, Tamil Nadu 600016, India",Yes,No,Yes,No,
,,"124, W Main Rd",,"124, W Main Rd, Kumudam Nagar, Mugalivakkam, Chennai, Tamil Nadu 600125, India",Yes,No,Yes,No,
